,name,symbol,country,indices,industries,symbols,metadata,isins,wiki_name
0,Apple Inc.,AAPL,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Computers, Phones & Household Electronics', 'Technology', 'Technology Equipment', 'Phones & Handheld Devices']","[{'yahoo': 'APC.F', 'google': 'FRA:APC', 'currency': 'EUR'}, {'yahoo': 'AAPL', 'google': 'NASDAQ:AAPL', 'currency': 'USD'}]","{'founded': 1976, 'employees': 147000}",['US0378331005'],
1,Cisco Systems Inc.,CSCO,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Communications & Networking']","[{'yahoo': 'CIS.F', 'google': 'FRA:CIS', 'currency': 'EUR'}, {'yahoo': 'CSCO', 'google': 'NASDAQ:CSCO', 'currency': 'USD'}]","{'founded': 1984, 'employees': 77500}",[],
2,Intel Corporation,INTC,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'INL.F', 'google': 'FRA:INL', 'currency': 'EUR'}, {'yahoo': 'INTC', 'google': 'NASDAQ:INTC', 'currency': 'USD'}]","{'founded': 1968, 'employees': 110600}",[],
3,Microsoft Corporation,MSFT,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Software', 'Technology', 'Software & IT Services']","[{'yahoo': 'MSF.F', 'google': 'FRA:MSF', 'currency': 'EUR'}, {'yahoo': 'MSFT', 'google': 'NASDAQ:MSFT', 'currency': 'USD'}, {'yahoo': 'MSF0.F', 'google': 'FRA:MSF0', 'currency': 'EUR'}]","{'founded': 1975, 'employees': 166475}",['US5949181045'],
4,Walgreens Boots Alliance Inc.,WBA,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Consumer Non-Cyclicals', 'Food & Drug Retailing', 'Drug Retailers']","[{'yahoo': 'W8A.F', 'google': 'FRA:W8A', 'currency': 'EUR'}, {'yahoo': 'WBA', 'google': 'NASDAQ:WBA', 'currency': 'USD'}, {'yahoo': '0LSZ.L', 'google': 'LON:0LSZ', 'currency': 'GBP'}]","{'founded': 2014, 'employees': 450000}",[],
5,Activision Blizzard Inc.,ATVI,United States,"['NASDAQ 100', 'S&P 500']","['Technology', 'Software & IT Services', 'Internet Services']","[{'yahoo': 'AIY.F', 'google': 'FRA:AIY', 'currency': 'EUR'}, {'yahoo': 'ATVI', 'google': 'NASDAQ:ATVI', 'currency': 'USD'}]","{'founded': 2008, 'employees': 9500}",['US00507V1098'],
6,Adobe Inc.,ADBE,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Software', 'Technology', 'Software & IT Services']","[{'yahoo': 'ADB.F', 'google': 'FRA:ADB', 'currency': 'EUR'}, {'yahoo': 'ADBE', 'google': 'NASDAQ:ADBE', 'currency': 'USD'}]","{'founded': 1982, 'employees': ''}",[],
7,Alphabet Inc.,GOOGL,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Software & IT Services', 'Internet Services']","[{'yahoo': 'ABEC.F', 'google': 'FRA:ABEC', 'currency': 'EUR'}, {'yahoo': 'GOOGL', 'google': 'NASDAQ:GOOGL', 'currency': 'USD'}, {'yahoo': 'ABEA.F', 'google': 'FRA:ABEA', 'currency': 'EUR'}, {'yahoo': 'GOOG', 'google': 'NASDAQ:GOOG', 'currency': 'USD'}]","{'founded': 2015, 'employees': 135301}","['US02079K1079', 'US02079K3059']",
8,Amazon.com Inc.,AMZN,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Diversified Retail', 'Retailers', 'Department Stores', 'Consumer Cyclicals']","[{'yahoo': 'AMZ.F', 'google': 'FRA:AMZ', 'currency': 'EUR'}, {'yahoo': 'AMZN', 'google': 'NASDAQ:AMZN', 'currency': 'USD'}]","{'founded': 1994, 'employees': 1298000}",['US0231351067'],
9,Amgen Inc.,AMGN,United States,"['DOW JONES', 'NASDAQ 100', 'S&P 100', 'S&P 500']","['Pharmaceuticals', 'Pharmaceuticals & Medical Research', 'Healthcare']","[{'yahoo': 'AMG.F', 'google': 'FRA:AMG', 'currency': 'EUR'}, {'yahoo': 'AMGN', 'google': 'NASDAQ:AMGN', 'currency': 'USD'}]","{'founded': 1980, 'employees': 22000}",['US0311621009'],
10,Analog Devices Inc.,ADI,United States,"['NASDAQ 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'ANL.F', 'google': 'FRA:ANL', 'currency': 'EUR'}, {'yahoo': 'ADI', 'google': 'NASDAQ:ADI', 'currency': 'USD'}, {'yahoo': '0HFN.L', 'google': 'LON:0HFN', 'currency': 'GBP'}]","{'founded': 1965, 'employees': 15300}",[],
11,Applied Materials Inc.,AMAT,United States,"['NASDAQ 100', 'S&P 500']","['Semiconductor Equipment & Testing', 'Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment']","[{'yahoo': 'AP2.F', 'google': 'FRA:AP2', 'currency': 'EUR'}, {'yahoo': 'AMAT', 'google': 'NASDAQ:AMAT', 'currency': 'USD'}]","{'founded': 1967, 'employees': 21000}",[],
